id,known,name,products,sameAs/0,url
en:milk-powder,True,Milk powder,55744,,https://world.openfoodfacts.org/ingredient/milk-powder
en:sea-salt,True,Sea salt,54787,,https://world.openfoodfacts.org/ingredient/sea-salt
en:ferment,True,Ferment,54057,,https://world.openfoodfacts.org/ingredient/ferment
en:cream,True,Cream,52659,https://www.wikidata.org/wiki/Q13228,https://world.openfoodfacts.org/ingredient/cream
en:e415,True,E415,52030,https://www.wikidata.org/wiki/Q410768,https://world.openfoodfacts.org/ingredient/e415
en:protein,True,Protein,51880,,https://world.openfoodfacts.org/ingredient/protein
en:enzyme,True,Enzyme,51484,https://www.wikidata.org/wiki/Q8047,https://world.openfoodfacts.org/ingredient/enzyme
en:palm-oil,True,Palm oil,51243,https://www.wikidata.org/wiki/Q231458,https://world.openfoodfacts.org/ingredient/palm-oil
en:cocoa-butter,True,Cocoa butter,50737,https://www.wikidata.org/wiki/Q251106,https://world.openfoodfacts.org/ingredient/cocoa-butter
en:e300,True,E300,50422,https://www.wikidata.org/wiki/Q193598,https://world.openfoodfacts.org/ingredient/e300
en:artificial-flavouring,True,Artificial flavouring,49617,,https://world.openfoodfacts.org/ingredient/artificial-flavouring
en:citrus-fruit,True,Citrus fruit,49425,https://www.wikidata.org/wiki/Q81513,https://world.openfoodfacts.org/ingredient/citrus-fruit
en:thiamin-mononitrate,True,Thiamin mononitrate,48852,,https://world.openfoodfacts.org/ingredient/thiamin-mononitrate
en:tree-nut,True,Tree nut,48776,,https://world.openfoodfacts.org/ingredient/tree-nut
en:fruit-juice,True,Fruit juice,48395,,https://world.openfoodfacts.org/ingredient/fruit-juice
en:animal,True,Animal,47858,,https://world.openfoodfacts.org/ingredient/animal
en:whey,True,Whey,47314,,https://world.openfoodfacts.org/ingredient/whey
en:microbial-culture,True,Microbial culture,47191,,https://world.openfoodfacts.org/ingredient/microbial-culture
en:e500ii,True,E500ii,46913,https://www.wikidata.org/wiki/Q190227,https://world.openfoodfacts.org/ingredient/e500ii
en:soya,True,Soya,46749,,https://world.openfoodfacts.org/ingredient/soya
en:fructose,True,Fructose,45870,https://www.wikidata.org/wiki/Q122043,https://world.openfoodfacts.org/ingredient/fructose
en:rice,True,Rice,45273,https://www.wikidata.org/wiki/Q5090,https://world.openfoodfacts.org/ingredient/rice
en:acid,True,Acid,45000,https://www.wikidata.org/wiki/Q337038,https://world.openfoodfacts.org/ingredient/acid
en:maltodextrins,True,Maltodextrins,43569,,https://world.openfoodfacts.org/ingredient/maltodextrins
en:antioxidant,True,Antioxidant,42888,https://www.wikidata.org/wiki/Q133948,https://world.openfoodfacts.org/ingredient/antioxidant
